"","UP/DOWN","statistic","p.value","FDRp.value","path_name"
"P-hsa04014-55","UP",2.32665358873972,0.0199908606796511,0.024511669696095,"Ras signaling pathway: MLLT4"
"P-hsa04916-7","UP",2.31698939937839,0.020511621879991,0.025133770507422,"Melanogenesis: TYRP1"
"P-hsa04020-64","UP",2.26732620404935,0.0233785005980324,0.0286093066679118,"Calcium signaling pathway: Sodium cation*"
"P-hsa04020-12","UP",2.26732620404935,0.0233785005980324,0.0286093066679118,"Calcium signaling pathway: Sodium cation"
"P-hsa05152-24 25","DOWN",-2.25766201468802,0.0239751150314211,0.0293202840931852,"Tuberculosis: ITGB2 ITGAM"
"P-hsa05215-39","DOWN",-2.2420919318281,0.0249641058422942,0.0305098778893446,"Prostate cancer: RB1"
"P-hsa04919-49","DOWN",-2.24168925727138,0.0249828049502922,0.03051285292106,"Thyroid hormone signaling pathway: ACTB"
"P-hsa05211-40","UP",2.23940743478329,0.0251381448936745,0.0306826023555845,"Renal cell carcinoma: PAK4"
"P-hsa05161-29","DOWN",-2.23511223951159,0.0254187921377229,0.031004976625727,"Hepatitis B: NFKB1"
"P-hsa05031-101","UP",2.23162239335333,0.0256488103716197,0.0312652165413636,"Amphetamine addiction: FOS*"
"P-hsa04066-48","UP",2.2305485945354,0.025719946475142,0.0313315711606275,"HIF-1 signaling pathway: PFKFB3"
"P-hsa05150-40","DOWN",-2.20934106788138,0.027160257143458,0.0330432181589671,"Staphylococcus aureus infection: FCGR1A"
"P-hsa05152-20","DOWN",-2.20934106788138,0.027160257143458,0.0330432181589671,"Tuberculosis: FCGR1A"
"P-hsa04724-44","DOWN",-2.20021377792901,0.0278012512948751,0.0338011324881307,"Glutamatergic synapse: PRKACA*"
"P-hsa04621-21 31 41","DOWN",-2.19538168324835,0.0281458516190844,0.034197938884328,"NOD-like receptor signaling pathway: NLRP3 CARD8 CASP1"
"P-hsa04919-46","UP",2.19242873649905,0.0283582478011646,0.0344337041262037,"Thyroid hormone signaling pathway: ATP1B4"
"P-hsa05205-284","DOWN",-2.17712710334362,0.0294810987934904,0.035773959467392,"Proteoglycans in cancer: PRKCA*"
"P-hsa05168-29","DOWN",-2.17685865363914,0.029501134488548,0.0357751314159767,"Herpes simplex infection: IKBKG"
"P-hsa04210-64","DOWN",-2.17497950570777,0.0296417125672351,0.0359223855142979,"Apoptosis: TNFRSF10D*"
"P-hsa04722-33","UP",2.17471105600329,0.029661842102366,0.0359235737792374,"Neurotrophin signaling pathway: BAD"
