"","UP/DOWN","statistic","p.value","FDRp.value"
"P-hsa05212-8","UP",6.78157643460746,1.18982071791626e-11,2.81475872233406e-11
"P-hsa05150-1 2 3","UP",6.76627480145202,1.32263040187082e-11,3.12500583615826e-11
"P-hsa04922-51","DOWN",-6.75526836356829,1.42703168223042e-11,3.36320532143752e-11
"P-hsa05213-27","DOWN",-6.75526836356829,1.42703168223042e-11,3.36320532143752e-11
"P-hsa04660-41 46","UP",6.75312076593244,1.44832381276128e-11,3.40910347897134e-11
"P-hsa04390-95","UP",6.74667797302489,1.51408429676196e-11,3.55942624151058e-11
"P-hsa04211-51","DOWN",-6.74157742863974,1.56821037790276e-11,3.68205590606455e-11
"P-hsa04330-12","UP",6.737819132777,1.60930078165736e-11,3.77381033298651e-11
"P-hsa04917-46","UP",6.73755068307252,1.61227582467071e-11,3.77606672544601e-11
"P-hsa05168-138","UP",6.71231641085128,1.9173508707021e-11,4.4849753534129e-11
"P-hsa05200-173","DOWN",-6.70775276587509,1.97826243637830e-11,4.61594568488271e-11
"P-hsa05221-16","DOWN",-6.70775276587509,1.97826243637830e-11,4.61594568488271e-11
"P-hsa04976-16","DOWN",-6.6846660912897,2.31663989944647e-11,5.39877820044917e-11
"P-hsa05016-12","UP",6.68386074217625,2.32941342751157e-11,5.42181090572172e-11
"P-hsa04024-111","UP",6.65943181906845,2.75139326205948e-11,6.39605174674546e-11
"P-hsa05211-3","DOWN",-6.63688204389202,3.20679584578365e-11,7.44548144392343e-11
"P-hsa04933-26","DOWN",-6.63446599655169,3.25975885987161e-11,7.55909471090129e-11
